doc_id	tx_hash	network_id	source	type	status	reviewReason	excludedFromAccounting	accountingExclusionReason	flows
BYBIT:33625378:2025-2026_fund_asset_changes:153			BYBIT	BORROW	NEEDS_REVIEW		true	BYBIT_LOAN_SEMANTICS_UNSUPPORTED	
BYBIT:33625378:2024-2025_uta_derivatives:419			BYBIT	EXTERNAL_TRANSFER_IN	NEEDS_REVIEW		true	UTA_TRADE_PAIR_NOT_FOUND	BUY:USDT:5.00000000000000000000
BYBIT:33625378:2024-2025_uta_derivatives:402			BYBIT	EXTERNAL_TRANSFER_IN	NEEDS_REVIEW		true	UTA_TRADE_PAIR_NOT_FOUND	BUY:USDT:5.00000000000000000000
BYBIT:33625378:2024-2025_uta_derivatives:25			BYBIT	EXTERNAL_TRANSFER_IN	NEEDS_REVIEW		true	UTA_TRADE_PAIR_NOT_FOUND	BUY:USDT:8.90000000000000000000
BYBIT:33625378:2024-2025_uta_derivatives:26			BYBIT	EXTERNAL_TRANSFER_IN	NEEDS_REVIEW		true	UTA_TRADE_PAIR_NOT_FOUND	BUY:USDT:8.90000000000000000000
BYBIT:33625378:2024-2025_uta_derivatives:374			BYBIT	EXTERNAL_TRANSFER_IN	NEEDS_REVIEW		true	UTA_TRADE_PAIR_NOT_FOUND	BUY:USDT:2.00000000000000000000
BYBIT:33625378:2024-2025_uta_derivatives:109			BYBIT	EXTERNAL_TRANSFER_IN	NEEDS_REVIEW		true	UTA_TRADE_PAIR_NOT_FOUND	BUY:USDT:2.00000000000000000000
BYBIT:33625378:2025-2026_uta_derivatives:191			BYBIT	EXTERNAL_TRANSFER_IN	NEEDS_REVIEW		true	UTA_TRADE_PAIR_NOT_FOUND	BUY:USDT:0.06000000000000000000
BYBIT:33625378:2025-2026_uta_derivatives:322			BYBIT	EXTERNAL_TRANSFER_IN	NEEDS_REVIEW		true	UTA_TRADE_PAIR_NOT_FOUND	BUY:USDT:0.06000000000000000000
BYBIT:33625378:2025-2026_fund_asset_changes:742			BYBIT	REPAY	NEEDS_REVIEW		true	BYBIT_LOAN_SEMANTICS_UNSUPPORTED	
BYBIT:33625378:2025-2026_fund_asset_changes:1660			BYBIT	REPAY	NEEDS_REVIEW		true	BYBIT_LOAN_SEMANTICS_UNSUPPORTED	
